Singular Value,APPLE_FRAME,AURORA_BOREALIS,BARN,BEACH,BOAT,BRIDGE,BUILDING,BUSHES,CABIN,CACTUS,CIRCLE_FRAME,CIRRUS,CLIFF,CLOUDS,CONIFER,CUMULUS,DECIDUOUS,DIANE_ANDRE,DOCK,DOUBLE_OVAL_FRAME,FARM,FENCE,FIRE,FLORIDA_FRAME,FLOWERS,FOG,FRAMED,GRASS,GUEST,HALF_CIRCLE_FRAME,HALF_OVAL_FRAME,HILLS,LAKE,LAKES,LIGHTHOUSE,MILL,MOON,MOUNTAIN,MOUNTAINS,NIGHT,OCEAN,OVAL_FRAME,PALM_TREES,PATH,PERSON,PORTRAIT,RECTANGLE_3D_FRAME,RECTANGULAR_FRAME,RIVER,ROCKS,SEASHELL_FRAME,SNOW,SNOWY_MOUNTAIN,SPLIT_FRAME,STEVE_ROSS,STRUCTURE,SUN,TOMB_FRAME,TREE,TREES,TRIPLE_FRAME,WATERFALL,WAVES,WINDMILL,WINDOW_FRAME,WINTER,WOOD_FRAMED
4.024117,-0.000028,-0.000004,0.003367,0.004668,0.000190,0.001331,-0.005498,0.004669,0.003467,0.001082,0.016205,-0.000082,0.002951,0.007627,-0.006888,0.023470,0.009484,0.015627,0.004602,-0.004902,0.001826,0.018593,0.001042,0.009881,-0.001849,0.000202,-0.016789,0.011991,-0.029487,-0.027974,0.054776,0.020258,0.054719,-0.038193,-0.023388,-0.052868,0.035373,0.017277,-0.065857,0.009742,0.029680,-0.015434,0.022757,-0.016735,0.028637,0.128189,0.097103,-0.575888,-0.328509,0.081716,0.081761,0.128209,-0.106461,-0.075448,-0.064831,-0.025806,0.063773,0.104504,0.084421,0.658113,-0.039401,-0.046108,-0.010470,0.000959,0.000000,0.000000,0.000000
3.830470,-0.012482,0.008584,-0.001464,-0.009386,-0.009292,0.005073,-0.024396,0.011879,0.010523,-0.010465,-0.047369,0.034307,-0.031500,0.072738,-0.039707,0.043692,0.124257,-0.059469,0.057413,0.144888,-0.036227,-0.049839,0.100589,0.148830,0.153278,-0.033949,-0.287882,-0.801155,0.006576,-0.316386,-0.100933,-0.068020,0.116703,0.073541,0.096342,0.002976,-0.017338,-0.040914,0.005596,0.011316,-0.054268,0.011994,-0.000322,0.033691,0.048623,-0.005384,0.001241,0.001070,-0.001307,-0.000314,-0.000215,-0.003408,-0.004037,0.013659,-0.001209,0.008617,-0.002990,-0.002193,-0.002257,0.009874,0.057110,-0.031803,-0.002973,-0.000375,0.000000,-0.000000,-0.000000
3.751993,-0.028915,0.019165,-0.023857,-0.002092,0.027642,0.041857,-0.079511,0.048096,-0.002690,-0.045916,-0.015920,-0.083905,-0.066831,-0.023010,-0.074323,-0.167242,-0.104975,-0.001411,-0.182354,-0.022771,0.808705,0.352702,0.168723,0.202571,0.080876,-0.122443,0.086265,-0.003178,0.027713,-0.087730,-0.052764,-0.038767,-0.010248,-0.006120,-0.016756,0.015289,-0.028869,-0.013606,0.005818,0.007818,0.002327,0.004914,-0.010451,0.005285,0.002437,-0.000107,0.001033,0.013159,-0.002722,-0.001651,0.006446,0.005275,-0.016548,-0.010606,-0.024131,0.018822,-0.020875,0.021355,0.014607,0.001150,0.004557,-0.009463,-0.000767,-0.001125,0.000000,0.000000,-0.000000
3.340123,-0.066238,0.048220,-0.017998,0.082814,0.005012,0.099917,-0.090430,0.644635,-0.144707,-0.186573,-0.155795,0.122411,-0.119368,-0.120773,0.084971,-0.020277,-0.002854,-0.057111,0.011672,-0.027864,-0.034332,-0.044947,-0.078760,-0.011364,-0.038579,-0.024041,-0.113774,0.085652,0.128590,-0.013478,0.176588,-0.504404,0.031955,0.073658,-0.010434,0.076978,0.012290,-0.027041,0.002941,0.004364,-0.059276,0.019639,-0.004126,0.027974,-0.047840,-0.003982,-0.000891,-0.003251,-0.002506,-0.001252,-0.002746,0.008362,-0.000508,0.005291,-0.003114,0.003233,0.006653,-0.000643,0.000510,0.016040,0.005994,-0.006078,-0.006765,-0.248090,-0.000000,0.000000,0.000000
3.282922,-0.187161,0.206864,0.221136,-0.231927,-0.071788,-0.561759,-0.138098,-0.072593,0.169641,-0.574292,0.167396,0.153088,0.083783,-0.138583,0.069777,-0.017481,-0.025217,-0.091241,0.036196,0.036578,-0.018514,0.063747,-0.083858,0.033539,0.005650,-0.036131,0.007748,0.024000,0.019527,-0.040675,-0.053785,0.008355,0.010308,0.001654,0.000515,0.017754,0.003227,0.000616,0.002129,-0.007759,-0.010919,0.008134,-0.010167,0.001548,0.001083,-0.007162,-0.001928,0.001689,0.000439,0.007967,0.003609,-0.004950,-0.001559,0.000857,-0.008017,0.006374,0.021068,0.003963,-0.008921,0.004869,0.001321,-0.010414,-0.009670,-0.001899,0.000000,-0.000000,0.000000
2.966310,-0.024815,-0.031440,0.012974,0.008617,-0.064533,0.016490,0.053169,0.047153,0.070879,-0.006130,-0.078714,-0.009702,0.065088,0.200947,-0.035071,-0.012797,0.348386,-0.357535,0.289335,0.491634,0.118860,0.053991,-0.022895,0.109481,0.019212,0.236776,0.023535,0.094004,-0.000775,0.028733,0.049125,-0.064843,-0.250932,-0.162300,0.015585,-0.116672,0.015460,0.001627,-0.003464,0.005168,0.195402,-0.022755,-0.075113,-0.105454,-0.171073,0.017245,-0.003881,-0.006770,0.001642,0.007352,0.010405,0.003513,-0.017557,-0.014687,-0.000920,-0.002258,0.013325,0.019947,0.040654,-0.031650,-0.216771,0.119704,0.008672,-0.001433,0.000000,-0.000000,-0.000000
2.915524,-0.001364,0.001546,-0.001485,0.006516,-0.004437,0.009181,0.007532,0.001511,0.006148,-0.008429,-0.010920,0.006216,-0.006528,-0.012504,0.000861,0.002804,-0.008170,0.004561,0.008370,-0.002554,-0.004686,0.000837,-0.008068,0.008160,-0.003904,-0.006211,-0.013803,0.012766,0.015107,-0.005752,0.020157,-0.071326,0.008877,0.018868,0.020990,0.010672,0.009453,-0.015978,0.002025,-0.013626,-0.070975,0.010053,0.006490,0.042467,-0.146106,0.102476,0.311724,-0.133095,0.296858,0.230104,0.436630,0.093100,0.316892,0.169550,-0.484361,-0.111976,-0.153035,-0.147436,0.005698,-0.064192,0.007726,0.022763,-0.012551,0.266172,0.000000,-0.000000,0.000000
2.813955,-0.001621,-0.004715,0.001895,0.001152,-0.004282,0.005166,-0.002352,0.003724,-0.009544,-0.003929,-0.007641,-0.003346,-0.000244,-0.018339,-0.009536,0.002953,0.002253,0.000079,-0.003776,-0.002477,-0.005534,-0.005942,0.000227,0.002076,0.001758,0.014425,-0.014470,0.008006,0.014185,0.007302,0.029614,-0.070545,0.013512,0.019857,-0.004470,0.007071,-0.005181,-0.021288,-0.004736,0.000638,-0.052736,0.006319,0.000396,0.051775,-0.094125,-0.048261,0.139839,0.379798,-0.623563,-0.198989,0.330617,0.158292,-0.190330,-0.078062,-0.132723,-0.102240,0.278983,-0.144686,-0.033573,-0.085095,0.006225,-0.002644,-0.008050,0.265596,0.000000,-0.000000,0.000000
2.672172,-0.021465,0.022265,0.026163,0.020564,-0.033566,0.024809,-0.049610,0.010514,0.058878,-0.069713,-0.035955,-0.008968,0.064076,0.081259,0.018907,-0.003208,0.202846,-0.045932,0.045607,-0.010819,-0.160653,-0.022612,0.660196,-0.202697,0.435719,-0.393232,0.157316,0.098837,0.152852,0.099316,0.026357,-0.050526,-0.001451,-0.047226,-0.037220,0.018417,-0.019771,-0.011200,-0.009753,-0.042198,0.003080,0.008209,0.024064,-0.002802,0.003407,-0.004901,-0.001149,0.000039,-0.002580,0.000623,-0.000818,-0.001221,0.003729,-0.010110,-0.008347,-0.005642,-0.009868,-0.003839,-0.000829,0.009750,0.003290,-0.022771,-0.025283,0.000178,0.000000,0.000000,0.000000
2.231302,-0.200891,-0.158101,-0.121766,-0.005161,-0.617008,0.174448,-0.287517,-0.047271,0.163503,0.064361,-0.214708,0.229673,0.149852,-0.013487,-0.019341,0.121142,-0.243852,0.006158,-0.052212,0.030973,-0.192623,0.221600,0.079287,0.228782,-0.100070,-0.004245,0.125976,0.027860,-0.060846,-0.078516,-0.056322,-0.029933,-0.017882,-0.038871,0.025019,0.024230,-0.030572,-0.024533,0.016377,-0.008748,-0.009110,-0.003258,-0.006845,-0.004730,-0.020083,0.010139,0.000221,-0.002371,0.000397,-0.004149,-0.006224,-0.009682,0.001694,-0.006167,0.001826,0.026029,0.021286,0.014572,0.014957,-0.005613,0.000963,-0.017851,0.000158,-0.000609,-0.000000,0.000000,0.000000
2.212383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.595008,-0.803719,-0.000000
2.102306,-0.000339,-0.000307,0.004296,0.009305,-0.000562,-0.003444,0.000358,-0.001653,-0.004585,0.001496,0.002722,0.004948,-0.005286,0.003135,-0.012696,0.020896,0.005780,0.003738,-0.010521,0.002124,0.003479,0.012940,-0.025962,-0.021938,0.017844,0.021614,0.063900,-0.020381,0.059898,0.018831,-0.093999,-0.038033,0.043292,-0.117566,0.042589,0.117769,0.034261,-0.079795,-0.118829,-0.029346,-0.037957,0.024514,0.102452,-0.033754,0.019113,0.321759,-0.000567,0.001702,-0.006578,-0.016099,0.002502,-0.068303,-0.016277,-0.080184,0.013660,0.039393,0.056784,0.034281,-0.125413,0.021966,0.359645,0.793775,-0.115174,0.000219,0.000000,-0.000000,-0.000000
2.001504,-0.002216,0.008395,0.002648,0.002977,0.005284,0.000606,0.008528,-0.007067,-0.016866,0.022436,-0.004600,0.025993,0.000450,0.002347,-0.011053,0.004228,-0.004030,-0.016952,-0.016101,0.003265,-0.002894,0.014893,0.006280,0.000083,0.003386,0.003146,-0.003066,-0.003569,0.029654,0.029475,0.044373,0.034761,-0.003025,-0.003341,-0.003048,0.044578,0.158534,0.010538,-0.147824,-0.377605,-0.082776,-0.041352,-0.839783,0.211264,0.142239,0.058960,0.002648,-0.001474,0.012490,-0.005268,0.027383,-0.009654,-0.003215,0.047851,0.009396,-0.011637,0.058085,0.068371,0.053149,-0.007928,0.038327,0.023952,-0.043948,-0.002995,0.000000,-0.000000,-0.000000
1.852418,-0.003785,-0.001873,-0.010201,0.014383,0.005349,-0.000470,-0.001996,-0.005641,0.009794,0.002391,0.011092,0.000593,-0.011642,-0.004184,-0.010381,0.060484,0.020496,0.024251,-0.024737,0.015585,0.012486,-0.016766,-0.062561,-0.050643,0.037269,0.025029,0.237135,-0.063653,0.046282,-0.089961,0.100063,-0.015692,0.090289,-0.040405,-0.032763,-0.069573,0.061302,0.107050,0.770954,-0.090580,-0.015442,0.007055,-0.125116,0.002774,-0.073262,-0.371129,-0.005883,0.007380,0.006719,0.026728,-0.031561,0.014353,0.004722,0.007892,-0.060141,0.012615,-0.019903,-0.043572,-0.134447,0.181595,0.073367,0.210446,-0.049148,0.000644,0.000000,0.000000,-0.000000
1.670504,-0.242236,-0.431305,0.051822,-0.167896,-0.019989,-0.191816,0.210032,0.162329,0.085138,0.115362,0.161631,0.085748,-0.065563,-0.024275,0.015031,-0.051373,-0.036320,0.070777,-0.094506,-0.173711,0.031334,-0.115493,0.267648,0.076380,0.268186,0.566360,-0.047267,0.043910,-0.042612,-0.000394,0.018332,-0.035994,0.024149,0.014490,-0.039278,0.012425,-0.036215,-0.102303,0.028398,0.011522,0.006518,0.012798,-0.017127,0.002131,0.005900,0.003167,-0.004258,-0.005699,0.012909,0.006030,-0.002891,0.013250,-0.005538,-0.008265,-0.009785,0.021239,-0.012722,0.007091,0.012657,-0.002615,0.013795,-0.006422,-0.002767,-0.000239,0.000000,0.000000,0.000000
1.505509,-0.154426,-0.322065,0.014425,-0.104377,0.014832,-0.159754,0.150953,0.195998,0.019115,0.248258,0.075670,-0.131899,0.267320,-0.562653,-0.287425,0.059633,0.169485,-0.048068,0.047516,0.125140,0.005504,0.067527,-0.044332,-0.087661,-0.184005,-0.325261,0.038817,-0.054494,0.005707,-0.035594,-0.032871,0.027099,-0.017946,-0.017257,0.010938,-0.003152,-0.007344,0.046584,-0.023161,0.002983,0.001370,-0.004938,0.003503,0.005069,0.011893,-0.007544,0.002309,0.001067,0.000159,-0.005272,-0.000197,-0.019125,0.000900,0.003949,-0.012421,-0.013709,-0.004491,0.004937,-0.000902,0.001443,-0.003644,0.002661,-0.002801,-0.000828,0.000000,-0.000000,-0.000000
